kanji_raw,reading,audio_field_raw,rank,population,map_html,map_empty_html,kanji,audio_filename,map_filename,map_empty_filename,lat,lon,geocode_query,prefecture
鹿児島,かごしま,[sound:pronunciation_ja_鹿児島.ogg],24,593.460,"<img src=""24_Kagoshima.png"">","<img src=""japan pref.png"">",鹿児島,pronunciation_ja_鹿児島.ogg,24_Kagoshima.png,japan pref.png,31.596793,130.5571949,"鹿児島市, Japan",鹿児島県
八王子,はちおうじ,[sound:pronunciation_ja_八王子.ogg],25,579.605,"<img src=""25_Hachioji.png"">","<img src=""japan pref.png"">",八王子,pronunciation_ja_八王子.ogg,25_Hachioji.png,japan pref.png,35.6663595,139.3163653,"八王子市, Japan",東京都
姫路,ひめじ,[sound:pronunciation_ja_姫路.ogg],26,530.723,"<img src=""26_Himeji.png"">","<img src=""japan pref.png"">",姫路,pronunciation_ja_姫路.ogg,26_Himeji.png,japan pref.png,34.8153529,134.6854793,"姫路市, Japan",兵庫県
宇都宮,うつのみや,[sound:pronunciation_ja_宇都宮.ogg],27,519.026,"<img src=""27_Utsunomiya.png"">","<img src=""japan pref.png"">",宇都宮,pronunciation_ja_宇都宮.ogg,27_Utsunomiya.png,japan pref.png,36.5549677,139.8828776,"宇都宮市, Japan",栃木県
松山,まつやま,[sound:pronunciation_ja_松山.ogg],28,511.569,"<img src=""28_Matsuyama.png"">","<img src=""japan pref.png"">",松山,pronunciation_ja_松山.ogg,28_Matsuyama.png,japan pref.png,33.8395188,132.7653521,"松山市, Japan",愛媛県
松戸,まつど,[sound:pronunciation_ja_松戸.mp3],29,498.293,"<img src=""29_Matsudo.png"">","<img src=""japan pref.png"">",松戸,pronunciation_ja_松戸.mp3,29_Matsudo.png,japan pref.png,35.7879371,139.903177,"松戸市, Japan",千葉県
市川,いちかわ,[sound:pronunciation_ja_市川.ogg],30,496.943,"<img src=""30_Ichikawa.png"">","<img src=""japan pref.png"">",市川,pronunciation_ja_市川.ogg,30_Ichikawa.png,japan pref.png,35.721634,139.9309444,"市川市, Japan",千葉県
東大阪,ひがしおおさか,[sound:chrome_mMI5SWQ3Ma.mp3],31,494.074,"<img src=""31_Higashiosaka.png"">","<img src=""japan pref.png"">",東大阪,chrome_mMI5SWQ3Ma.mp3,31_Higashiosaka.png,japan pref.png,34.679391,135.6009037,"東大阪市, Japan",大阪府
西宮,にしのみや,[sound:pronunciation_ja_西宮.ogg],32,485.705,"<img src=""32_Nishinomiya.png"">","<img src=""japan pref.png"">",西宮,pronunciation_ja_西宮.ogg,32_Nishinomiya.png,japan pref.png,34.7377745,135.3413128,"西宮市, Japan",兵庫県
大分,おおいた,[sound:pronunciation_ja_大分.mp3],33,475.852,"<img src=""33_Oita.png"">","<img src=""japan pref.png"">",大分,pronunciation_ja_大分.mp3,33_Oita.png,japan pref.png,33.2393864,131.6096524,"大分市, Japan",大分県
