Prize_Type,Year,Laureate,Laureate_img,Rationale,Birth_Year,Death_Year,Portrait_URL,Nationality_1,Nationality_2,Nationality_3,Nationality_4,Nationality_img_1,Nationality_img_2,Nationality_img_3,Nationality_img_4,Flag_URL_1,Flag_URL_2,Flag_URL_3,Flag_URL_4
Chemistry,2020,Jennifer Doudna,/imgs/Laureates/Jennifer_Doudna_1964.jpg,for the development of a method for genome editing,1964,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Professor_Jennifer_Doudna_ForMemRS_%28cropped%29.jpg/120px-Professor_Jennifer_Doudna_ForMemRS_%28cropped%29.jpg,American,,,,/imgs/Flags/40px-Flag_of_the_United_States.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png,,,
Chemistry,2021,Benjamin List,/imgs/Laureates/Benjamin_List_1968.jpg,for the development of asymmetric organocatalysis,1968,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Benjamin_List_%28cropped%29.jpg/120px-Benjamin_List_%28cropped%29.jpg,German,,,,/imgs/Flags/40px-Flag_of_Germany.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/40px-Flag_of_Germany.svg.png,,,
Chemistry,2021,David W.C. MacMillan,/imgs/Laureates/David_W_C_MacMillan_1968.jpg,for the development of asymmetric organocatalysis,1968,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/David_MacMillan_%28cropped%29.jpg/120px-David_MacMillan_%28cropped%29.jpg,British,,,,/imgs/Flags/40px-Flag_of_the_United_Kingdom.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/40px-Flag_of_the_United_Kingdom.svg.png,,,
Chemistry,2022,Carolyn Bertozzi,/imgs/Laureates/Carolyn_Bertozzi_1966.jpg,for the development of click chemistry and bioorthogonal chemistry,1966,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Carolyn_Bertozzi_IMG_9384.jpg/120px-Carolyn_Bertozzi_IMG_9384.jpg,American,,,,/imgs/Flags/40px-Flag_of_the_United_States.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png,,,
Chemistry,2022,Morten Meldal,/imgs/Laureates/Morten_Meldal_1954.jpg,for the development of click chemistry and bioorthogonal chemistry,1954,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/MortenMeldal23_%28cropped%29.jpg/120px-MortenMeldal23_%28cropped%29.jpg,Danish,,,,/imgs/Flags/20px-Flag_of_Denmark.svg.png,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/20px-Flag_of_Denmark.svg.png,,,
Chemistry,2022,K. Barry Sharpless,/imgs/Laureates/K_Barry_Sharpless_1941.jpg,for the development of click chemistry and bioorthogonal chemistry,1941,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Barry_Sharpless_02.jpg/120px-Barry_Sharpless_02.jpg,American,,,,/imgs/Flags/40px-Flag_of_the_United_States.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png,,,
Chemistry,2023,Moungi G. Bawendi,/imgs/Laureates/Moungi_G_Bawendi_1961.jpg,for the discovery and synthesis of quantum dots,1961,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/US_Embassy_Sweden_2023_Nobel_Reception_%2853390424864%29_%28cropped%29.jpg/120px-US_Embassy_Sweden_2023_Nobel_Reception_%2853390424864%29_%28cropped%29.jpg,French,Tunisian,American,,/imgs/Flags/40px-Flag_of_France.svg.png,/imgs/Flags/40px-Flag_of_Tunisia.svg.png,/imgs/Flags/40px-Flag_of_the_United_States.svg.png,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/40px-Flag_of_France.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/40px-Flag_of_Tunisia.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png,
Chemistry,2023,Louis E. Brus,/imgs/Laureates/Louis_E_Brus_1943.jpg,for the discovery and synthesis of quantum dots,1943,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Louis_E_Brus.jpg/120px-Louis_E_Brus.jpg,American,,,,/imgs/Flags/40px-Flag_of_the_United_States.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png,,,
Chemistry,2023,Alexey Ekimov,/imgs/Laureates/Alexey_Ekimov_1945.jpg,for the discovery and synthesis of quantum dots,1945,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/US_Embassy_Sweden_2023_Nobel_Reception_%2853390424929%29_%28cropped%29.jpg/120px-US_Embassy_Sweden_2023_Nobel_Reception_%2853390424929%29_%28cropped%29.jpg,Russian,,,,/imgs/Flags/40px-Flag_of_Russia.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/40px-Flag_of_Russia.svg.png,,,
Chemistry,2024,David Baker,/imgs/Laureates/David_Baker_1962.jpg,for computational protein design,1962,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/David_Baker_at_2024_Nobel_Prize_Conference_3.jpg/120px-David_Baker_at_2024_Nobel_Prize_Conference_3.jpg,American,,,,/imgs/Flags/40px-Flag_of_the_United_States.svg.png,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png,,,
